RFID,NLISID,Visual_ID,IssueDate,ManufactureDate,Colour
NK509384,940 110030374758,NK509384ASU00048,CHAD 048,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374759,NK509384ASU00049,CHAD 049,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374760,NK509384ASU00050,CHAD 050,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374741,NK509384ASU00051,CHAD 051,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374742,NK509384ASU00052,CHAD 052,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374743,NK509384ASU00053,CHAD 053,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374744,NK509384ASU00054,CHAD 054,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374745,NK509384ASU00055,CHAD 055,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374746,NK509384ASU00056,CHAD 056,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374747,NK509384ASU00057,CHAD 057,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374748,NK509384ASU00058,CHAD 058,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374749,NK509384ASU00059,CHAD 059,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374750,NK509384ASU00060,CHAD 060,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374731,NK509384ASU00061,CHAD 061,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374732,NK509384ASU00062,CHAD 062,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374733,NK509384ASU00063,CHAD 063,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374734,NK509384ASU00064,CHAD 064,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374735,NK509384ASU00065,CHAD 065,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374736,NK509384ASU00066,CHAD 066,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374737,NK509384ASU00067,CHAD 067,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374738,NK509384ASU00068,CHAD 068,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374739,NK509384ASU00069,CHAD 069,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374740,NK509384ASU00070,CHAD 070,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374721,NK509384ASU00071,CHAD 071,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374722,NK509384ASU00072,CHAD 072,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374723,NK509384ASU00073,CHAD 073,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374724,NK509384ASU00074,CHAD 074,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374725,NK509384ASU00075,CHAD 075,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374726,NK509384ASU00076,CHAD 076,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374727,NK509384ASU00077,CHAD 077,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374728,NK509384ASU00078,CHAD 078,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374729,NK509384ASU00079,CHAD 079,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374730,NK509384ASU00080,CHAD 080,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374291,NK509384ASU00081,CHAD 081,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374292,NK509384ASU00082,CHAD 082,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374293,NK509384ASU00083,CHAD 083,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374294,NK509384ASU00084,CHAD 084,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374295,NK509384ASU00085,CHAD 085,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374296,NK509384ASU00086,CHAD 086,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374297,NK509384ASU00087,CHAD 087,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374298,NK509384ASU00088,CHAD 088,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374299,NK509384ASU00089,CHAD 089,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374300,NK509384ASU00090,CHAD 090,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374711,NK509384ASU00091,CHAD 091,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374712,NK509384ASU00092,CHAD 092,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374713,NK509384ASU00093,CHAD 093,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374714,NK509384ASU00094,CHAD 094,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374715,NK509384ASU00095,CHAD 095,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374716,NK509384ASU00096,CHAD 096,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374717,NK509384ASU00097,CHAD 097,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374718,NK509384ASU00098,CHAD 098,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374719,NK509384ASU00099,CHAD 099,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374720,NK509384ASU00100,CHAD 100,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374701,NK509384ASU00101,CHAD 101,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374702,NK509384ASU00102,CHAD 102,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374703,NK509384ASU00103,CHAD 103,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374704,NK509384ASU00104,CHAD 104,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374705,NK509384ASU00105,CHAD 105,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374706,NK509384ASU00106,CHAD 106,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374707,NK509384ASU00107,CHAD 107,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374708,NK509384ASU00108,CHAD 108,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374709,NK509384ASU00109,CHAD 109,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374710,NK509384ASU00110,CHAD 110,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374281,NK509384ASU00111,CHAD 111,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374282,NK509384ASU00112,CHAD 112,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374283,NK509384ASU00113,CHAD 113,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374284,NK509384ASU00114,CHAD 114,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374285,NK509384ASU00115,CHAD 115,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374286,NK509384ASU00116,CHAD 116,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374287,NK509384ASU00117,CHAD 117,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374288,NK509384ASU00118,CHAD 118,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374289,NK509384ASU00119,CHAD 119,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374290,NK509384ASU00120,CHAD 120,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374271,NK509384ASU00121,CHAD 121,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374272,NK509384ASU00122,CHAD 122,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374273,NK509384ASU00123,CHAD 123,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374274,NK509384ASU00124,CHAD 124,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374275,NK509384ASU00125,CHAD 125,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374276,NK509384ASU00126,CHAD 126,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374277,NK509384ASU00127,CHAD 127,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374278,NK509384ASU00128,CHAD 128,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374279,NK509384ASU00129,CHAD 129,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374280,NK509384ASU00130,CHAD 130,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374261,NK509384ASU00131,CHAD 131,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374262,NK509384ASU00132,CHAD 132,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374263,NK509384ASU00133,CHAD 133,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374264,NK509384ASU00134,CHAD 134,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374265,NK509384ASU00135,CHAD 135,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374266,NK509384ASU00136,CHAD 136,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374267,NK509384ASU00137,CHAD 137,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374268,NK509384ASU00138,CHAD 138,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374269,NK509384ASU00139,CHAD 139,17/11/2023,17/11/2023,BLACK
NK509384,940 110030374270,NK509384ASU00140,CHAD 140,17/11/2023,17/11/2023,BLACK
